"Subject","EV_Hits_B1","EV_Hits_B2","EV_Hits_B3","EV_Hits_B4","EV_Hits_B5","EV_Hits_B6","EV_FA_B1","EV_FA_B2","EV_FA_B3","EV_FA_B4","EV_FA_B5","EV_FA_B6","EV_Ap_B1","EV_Ap_B2","EV_Ap_B3","EV_Ap_B4","EV_Ap_B5","EV_Ap_B6","EV_Bp_B1","EV_Bp_B2","EV_Bp_B3","EV_Bp_B4","EV_Bp_B5","EV_Bp_B6"
166,62.5,31.25,37.5,43.75,25,25,0,0,9.09090909090909,4.34782608695652,0,0,0.90625,0.828125,0.767518939393939,0.82813823404856,0.8125,0.8125,1,1,0.478615071283096,0.710875535819708,1,1
167,62.5,31.25,43.75,18.75,37.5,56.25,0,0,4.34782608695652,0,0,10,0.90625,0.828125,0.82813823404856,0.796875,0.84375,0.834027777777778,1,1,0.710875535819708,1,1,0.464435146443515
168,87.5,87.5,93.75,87.5,81.25,93.75,0,0,4.54545454545455,0,9.52380952380952,5.55555555555556,0.96875,0.96875,0.97150974025974,0.96875,0.918886760169655,0.968641067538126,1,1,0.149097815764482,1,0.277453856723735,0.0551454624402953
169,56.25,68.75,50,50,56.25,81.25,0,0,0,11.1111111111111,4.34782608695652,5.26315789473684,0.890625,0.921875,0.875,0.803819444444444,0.866329737593325,0.934326501349528,1,1,1,0.433628318584071,0.710875535819708,0.506822925028094
170,62.5,56.25,25,0,12.5,12.5,4.76190476190476,0,0,0,0,0,0.882514880952381,0.890625,0.8125,0.5,0.78125,0.78125,0.675744141861938,1,1,1,1,1
171,81.25,75,81.25,75,68.75,87.5,9.09090909090909,0,10,0,5,0,0.920465472027972,0.9375,0.917147435897436,0.9375,0.899581339712919,0.96875,0.296606676741311,1,0.257253384912959,1,0.63787969029184,1
172,81.25,93.75,75,87.5,93.75,93.75,5,3.84615384615385,0,5,4.34782608695652,9.09090909090909,0.935273279352227,0.97349358974359,0.9375,0.95281954887218,0.972070569828722,0.958570075757576,0.524628616106333,0.226118500604595,1,0.394422310756972,0.16975012898946,-0.170285714285714
173,68.75,87.5,93.75,81.25,87.5,68.75,0,11.1111111111111,5.26315789473684,4.16666666666667,4.54545454545455,5.88235294117647,0.921875,0.933097718253968,0.969471856725146,0.938266443701226,0.954274891774892,0.895601813168449,1,0.0509731232622799,0.0805148159233762,0.584650112866817,0.431952662721894,0.590215597018658
174,75,75,68.75,75,68.75,75,6.66666666666667,5.88235294117647,0,0,13.6363636363636,0,0.910813492063492,0.913985906862745,0.921875,0.9375,0.859952696824706,0.9375,0.50166852057842,0.544078361531612,1,1,0.29185674075512,1
175,62.5,62.5,0,18.75,37.5,31.25,0,22.7272727272727,5.26315789473684,0,13.6363636363636,8.33333333333333,0.90625,0.787767379679144,0.5,0.796875,0.72816985645933,0.745833333333333,1,0.143307086614173,-1,1,0.331133113311331,0.475409836065574
176,87.5,81.25,75,87.5,87.5,75,11.1111111111111,0,0,0,0,5,0.933097718253968,0.953125,0.9375,0.96875,0.96875,0.917543859649123,0.0509731232622799,1,1,1,1,0.595744680851064
177,18.75,37.5,25,6.25,18.75,12.5,0,0,7.69230769230769,0,0,0,0.796875,0.84375,0.719951923076923,0.765625,0.796875,0.78125,1,1,0.450643776824034,1,1,1
178,56.25,81.25,62.5,50,75,87.5,0,12.5,5,4.54545454545455,8.33333333333333,4,0.890625,0.907967032967033,0.881315789473684,0.846320346320346,0.904040404040404,0.956019345238095,1,0.164179104477612,0.662971175166297,0.704225352112676,0.421052631578947,0.480290982913213
179,43.75,56.25,50,25,31.25,31.25,0,8.69565217391304,7.69230769230769,5.55555555555556,0,5.26315789473684,0.859375,0.841560990338164,0.826121794871795,0.745915032679739,0.828125,0.776471125730994,1,0.512148642210576,0.557603686635945,0.562700964630225,1,0.623267792175939
180,75,81.25,81.25,81.25,56.25,37.5,0,11.5384615384615,3.44827586206897,6.66666666666667,0,0,0.9375,0.911507910985336,0.940840813281546,0.929263965201465,0.890625,0.84375,1,0.197601526301445,0.641304075862587,0.420017800792944,1,1
181,50,56.25,56.25,62.5,56.25,43.75,7.69230769230769,0,0,0,10,4.54545454545455,0.826121794871795,0.890625,0.890625,0.90625,0.834027777777778,0.826704545454545,0.557603686635945,1,1,1,0.464435146443515,0.700234192037471
182,62.5,43.75,43.75,43.75,75,31.25,0,5.88235294117647,0,4,0,0,0.90625,0.816972492121849,0.859375,0.830658482142857,0.9375,0.828125,1,0.632695153118415,1,0.730046793646609,1,1
184,93.75,56.25,62.5,25,37.5,87.5,20,5.55555555555556,4.34782608695652,0,0,0,0.927135416666667,0.859499818445897,0.88459733201581,0.8125,0.84375,0.96875,-0.463902787705504,0.648522048134389,0.698597880766349,1,1,1
185,87.5,87.5,81.25,93.75,87.5,87.5,5.55555555555556,4.76190476190476,11.7647058823529,6.66666666666667,9.52380952380952,4.34782608695652,0.951038748832866,0.953582057823129,0.910675904977376,0.965481150793651,0.938249641962048,0.954907185206098,0.351609058402861,0.413785207236089,0.189488681336077,-0.030033050725679,0.118680920456605,0.449031500684797
186,75,75,62.5,68.75,56.25,62.5,20,0,7.69230769230769,0,0,0,0.855208333333333,0.9375,0.867668269230769,0.921875,0.890625,0.90625,0.0791366906474819,1,0.534968210717529,1,1,1
187,62.5,62.5,37.5,62.5,37.5,37.5,20,13.0434782608696,0,0,4.54545454545455,0,0.8028125,0.840013586956522,0.84375,0.90625,0.806006493506493,0.84375,0.188589540412044,0.347770700636943,1,1,0.687587168758717,1
188,81.25,100,81.25,87.5,68.75,75,24,6.66666666666667,20,18.1818181818182,10,0,0.864476214574899,0.983333333333333,0.879867788461538,0.909857503607504,0.876830808080808,0.9375,-0.0897888310087941,-1,-0.0245122561280641,-0.152576288144072,0.409533572526909,1
189,81.25,87.5,75,93.75,56.25,87.5,8.33333333333333,15.7894736842105,25,33.3333333333333,4.54545454545455,11.1111111111111,0.923222610722611,0.917777843045113,0.833333333333333,0.887673611111111,0.865214646464646,0.933097718253968,0.332068311195446,-0.0973388105018753,0,-0.582689335394127,0.700234192037471,0.0509731232622799
190,75,50,81.25,87.5,62.5,56.25,14.2857142857143,0,0,8.33333333333333,0,4.54545454545455,0.879464285714286,0.875,0.953125,0.942099567099567,0.90625,0.865214646464646,0.209876543209877,1,1,0.177570093457944,1,0.700234192037471
191,62.5,25,25,18.75,37.5,31.25,0,0,0,0,0,0,0.90625,0.8125,0.8125,0.796875,0.84375,0.828125,1,1,1,1,1,1
192,100,93.75,100,93.75,100,100,28.5714285714286,20,23.8095238095238,25,45,11.7647058823529,0.928571428571429,0.927135416666667,0.94047619047619,0.9125,0.8875,0.970588235294118,-1,-0.463902787705504,-1,-0.523809523809524,-1,-1
193,100,100,93.75,81.25,81.25,93.75,21.7391304347826,14.2857142857143,0,11.5384615384615,5.55555555555556,6.66666666666667,0.945652173913043,0.964285714285714,0.984375,0.911507910985336,0.933273629964806,0.965481150793651,-1,-1,1,0.197601526301445,0.487638332940899,-0.030033050725679
194,93.75,100,93.75,93.75,93.75,75,21.7391304347826,12.5,25,12.5,12,9.09090909090909,0.922063707729469,0.96875,0.9125,0.948809523809524,0.950244318181818,0.90094696969697,-0.487651331719128,-1,-0.523809523809524,-0.302325581395349,-0.286285257508279,0.388145315487572
195,87.5,87.5,68.75,62.5,62.5,68.75,33.3333333333333,5,19.047619047619,7.69230769230769,18.1818181818182,13.6363636363636,0.857886904761905,0.95281954887218,0.834228577794754,0.867668269230769,0.812689393939394,0.859952696824706,-0.340314136125654,0.394422310756972,0.164342462136668,0.534968210717529,0.223458038422649,0.29185674075512
196,100,100,75,75,75,81.25,0,9.09090909090909,10.5263157894737,33.3333333333333,6.25,5.55555555555556,1,0.977272727272727,0.895059339525284,0.795138888888889,0.9125,0.933273629964806,-1,-1,0.331284572833436,-0.0847457627118644,0.523809523809524,0.487638332940899
